[2019-02-11 13:59:36,854] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:59:37,457] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:37,457] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:37,459] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:37,459] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:38,823] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:38,824] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:38,827] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:38,828] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:46,645] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 13:59:46,647] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:59:46,654] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 13:59:46,661] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 13:59:47,001] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:47,001] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:47,002] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:47,003] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:51,344] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:51,344] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:51,349] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:51,350] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:56,657] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 13:59:56,659] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 13:59:56,665] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 13:59:56,669] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 13:59:56,997] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:56,998] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:57,014] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 13:59:57,014] {background.py:87} INFO - Data Interface not none
[2019-02-11 13:59:58,841] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:58,842] {background.py:74} INFO - Data Interface not none
[2019-02-11 13:59:58,844] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 13:59:58,845] {background.py:87} INFO - Data Interface not none
[2019-02-11 14:00:06,649] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 14:00:06,655] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 14:00:06,660] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 14:00:06,664] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 14:00:06,985] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 14:00:06,985] {background.py:74} INFO - Data Interface not none
[2019-02-11 14:00:06,987] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 14:00:06,988] {background.py:87} INFO - Data Interface not none
[2019-02-11 14:00:08,340] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 14:00:08,340] {background.py:74} INFO - Data Interface not none
[2019-02-11 14:00:08,342] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 14:00:08,343] {background.py:87} INFO - Data Interface not none
[2019-02-11 14:00:16,644] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 14:00:16,648] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 14:00:16,656] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
[2019-02-11 14:00:16,660] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device medan
[2019-02-11 14:00:17,323] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 14:00:17,324] {background.py:74} INFO - Data Interface not none
[2019-02-11 14:00:17,357] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device medan
[2019-02-11 14:00:17,358] {background.py:87} INFO - Data Interface not none
[2019-02-11 14:00:18,906] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 14:00:18,907] {background.py:87} INFO - Data Interface not none
[2019-02-11 14:00:18,911] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:158} INFO - Finished collecting interface data for device jakarta
[2019-02-11 14:00:18,911] {background.py:74} INFO - Data Interface not none
[2019-02-11 14:00:26,646] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device jakarta
[2019-02-11 14:00:26,647] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:84} INFO - Finished collecting Memory utilization for device jakarta
[2019-02-11 14:00:26,652] {/Users/jawdat/Documents/jawdat/Nemos/CNN/nms_backend/collector/device_snmp_collector.py:67} INFO - Finished collecting CPU utilization for device medan
